Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
39	:	1772302677.118	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.4 ./512/r500/m01_04 
40	:	1772302677.121	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.5 ./512/r500/m01_05 
41	:	1772302677.124	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.6 ./512/r500/m01_06 
42	:	1772302677.128	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.7 ./512/r500/m01_07 
43	:	1772302677.131	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.8 ./512/r500/m01_08 
44	:	1772302677.134	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.9 ./512/r500/m01_09 
45	:	1772302677.137	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.3 ./512/r500/m02_03 
46	:	1772302677.140	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.4 ./512/r500/m02_04 
47	:	1772302677.143	     0.007	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.5 ./512/r500/m02_05 
48	:	1772302677.147	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.6 ./512/r500/m02_06 
